"Techstack","Links"
"React, Node.js, MongoDB","https://example.com/react-portfolio"
"Angular,.NET, SQL Server","https://example.com/angular-portfolio"
"Vue.js, Ruby on Rails, PostgreSQL","https://example.com/vue-portfolio"
"Python, Django, MySQL","https://example.com/python-portfolio"
"Java, Spring Boot, Oracle","https://example.com/java-portfolio"
"Flutter, Firebase, GraphQL","https://example.com/flutter-portfolio"
"WordPress, PHP, MySQL","https://example.com/wordpress-portfolio"
"Magento, PHP, MySQL","https://example.com/magento-portfolio"
"React Native, Node.js, MongoDB","https://example.com/react-native-portfolio"
"iOS, Swift, Core Data","https://example.com/ios-portfolio"
"Android, Java, Room Persistence","https://example.com/android-portfolio"
"Kotlin, Android, Firebase","https://example.com/kotlin-android-portfolio"
"Android TV, Kotlin, Android NDK","https://example.com/android-tv-portfolio"
"iOS, Swift, ARKit","https://example.com/ios-ar-portfolio"
"Cross-platform, Xamarin, Azure","https://example.com/xamarin-portfolio"
"Backend, Kotlin, Spring Boot","https://example.com/kotlin-backend-portfolio"
"Frontend, TypeScript, Angular","https://example.com/typescript-frontend-portfolio"
"Full-stack, JavaScript, Express.js","https://example.com/full-stack-js-portfolio"
"Machine Learning, Python, TensorFlow","https://example.com/ml-python-portfolio"
"DevOps, Jenkins, Docker","https://example.com/devops-portfolio"
"Go, Gin, PostgreSQL","https://example.com/go-portfolio"
"Rust, Actix, SQLite","https://example.com/rust-portfolio"
"PHP, Laravel, MariaDB","https://example.com/laravel-portfolio"
"Scala, Play Framework, Cassandra","https://example.com/scala-portfolio"
"Elixir, Phoenix, PostgreSQL","https://example.com/elixir-portfolio"
"Perl, Dancer2, MySQL","https://example.com/perl-portfolio"
"ASP.NET Core, C#, SQL Server","https://example.com/aspnetcore-portfolio"
"Unity, C#, Game Development","https://example.com/unity-portfolio"
"Unreal Engine, C++, Game Development","https://example.com/unreal-portfolio"
"Salesforce, Apex, Lightning","https://example.com/salesforce-portfolio"
"Shopify, Liquid, eCommerce","https://example.com/shopify-portfolio"
"WooCommerce, WordPress, PHP","https://example.com/woocommerce-portfolio"
"Big Data, Hadoop, Spark","https://example.com/bigdata-portfolio"
"Data Science, R, Shiny","https://example.com/r-portfolio"
"Blockchain, Solidity, Ethereum","https://example.com/blockchain-portfolio"
"Embedded, C, ARM Cortex","https://example.com/embedded-portfolio"
"Cloud, AWS, Lambda","https://example.com/aws-portfolio"
"Cloud, Google Cloud, Firebase","https://example.com/gcp-portfolio"
"Cloud, Azure, Functions","https://example.com/azure-portfolio"
"Cybersecurity, Kali Linux, Metasploit","https://example.com/cybersecurity-portfolio"
"AR/VR, Unity, Oculus SDK","https://example.com/arvr-portfolio"
"Robotics, ROS, Python","https://example.com/robotics-portfolio"
"Data Engineering, Airflow, Redshift","https://example.com/dataeng-portfolio"
